# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       1.345347053722e-02       2.461385741491e+04 
       1.358213577848e-02       2.465840862684e+04 
       1.371083729910e-02       2.470067258666e+04 
       1.383957520805e-02       2.474081408513e+04 
       1.396834963739e-02       2.477887243796e+04 
       1.409716074188e-02       2.481487934540e+04 
       1.422600869865e-02       2.484884434634e+04 
       1.435489370691e-02       2.488074047960e+04 
       1.448381598764e-02       2.491059302805e+04 
       1.461277578339e-02       2.493852491048e+04 
       1.474177335802e-02       2.496446801525e+04 
       1.487080899657e-02       2.498851872810e+04 
       1.499988300507e-02       2.501058267382e+04 
       1.512899571040e-02       2.503082059087e+04 
       1.525814746024e-02       2.504918548848e+04 
       1.538733862292e-02       2.506575088769e+04 
       1.551656958740e-02       2.508042368697e+04 
       1.564584076324e-02       2.509338384998e+04 
       1.577515258056e-02       2.510453384634e+04 
       1.590450549008e-02       2.511400775302e+04 
       1.603389996311e-02       2.512170871692e+04 
       1.616333649164e-02       2.512772227873e+04 
       1.629281558838e-02       2.513207889476e+04 
       1.642233778684e-02       2.513473361633e+04 
       1.655190364148e-02       2.513575138278e+04 
       1.668151372777e-02       2.513528199883e+04 
       1.681116864238e-02       2.513314071358e+04 
       1.694086900332e-02       2.512955541880e+04 
       1.707061545012e-02       2.512426409504e+04 
       1.720040864404e-02       2.511750604364e+04 
       1.733024926823e-02       2.510925285479e+04 
       1.746013802802e-02       2.509955995187e+04 
       1.759007565113e-02       2.508839227019e+04 
       1.772006288793e-02       2.507484940504e+04 
       1.785010051173e-02       2.506180149239e+04 
       1.798018931907e-02       2.504555395295e+04 
       1.811033013003e-02       2.502966426040e+04 
       1.824052378856e-02       2.501069839891e+04 
       1.837077116281e-02       2.499122910726e+04 
       1.850107314553e-02       2.497071159877e+04 
       1.863143065438e-02       2.494919699710e+04 
       1.876184463241e-02       2.492574407598e+04 
       1.889231604838e-02       2.490059020406e+04 
       1.902284589729e-02       2.487530899309e+04 
       1.915343520073e-02       2.484768207986e+04 
       1.928408500740e-02       2.481923141869e+04 
       1.941479639358e-02       2.478963141986e+04 
       1.954557046365e-02       2.476029799133e+04 
       1.967640835055e-02       2.472848750855e+04 
       1.980731121640e-02       2.469558125680e+04 
       1.993828025299e-02       2.466111799106e+04 
       2.006931668239e-02       2.462614904815e+04 
       2.020042175753e-02       2.458989542829e+04 
       2.033159676283e-02       2.455368824043e+04 
       2.046284301485e-02       2.451555756785e+04 
       2.059416186291e-02       2.447641207555e+04 
       2.072555468981e-02       2.443525728402e+04 
       2.085702291251e-02       2.439433659850e+04 
       2.098856798287e-02       2.435298593986e+04 
       2.112019138838e-02       2.430926082364e+04 
       2.125189465297e-02       2.426511132716e+04 
       2.138367933776e-02       2.422025572805e+04 
       2.151554704192e-02       2.417455736095e+04 
       2.164749940353e-02       2.412796018809e+04 
       2.177953810039e-02       2.408067175796e+04 
       2.191166485102e-02       2.403232657260e+04 
       2.204388141551e-02       2.398314330350e+04 
       2.217618959651e-02       2.393310976809e+04 
       2.230859124026e-02       2.388252456330e+04 
       2.244108823754e-02       2.383094971032e+04 
       2.257368252478e-02       2.377857239092e+04 
       2.270637608514e-02       2.372565184500e+04 
       2.283917094962e-02       2.367232131514e+04 
       2.297206919819e-02       2.361745369942e+04 
       2.310507296106e-02       2.356294994944e+04 
       2.323818441983e-02       2.350637141800e+04 
       2.337140580881e-02       2.344990523920e+04 
       2.350473941631e-02       2.339259610349e+04 
       2.363818758599e-02       2.333495297664e+04 
       2.377175271826e-02       2.327633697661e+04 
       2.390543727172e-02       2.321726424227e+04 
       2.403924376464e-02       2.315765772743e+04 
       2.417317477650e-02       2.309731110889e+04 
       2.430723294956e-02       2.303721581801e+04 
       2.444142099048e-02       2.297518550096e+04 
       2.457574167206e-02       2.291306459907e+04 
       2.471019783491e-02       2.285120507975e+04 
       2.484479238930e-02       2.278781834602e+04 
       2.497952831698e-02       2.272432075630e+04 
       2.511440867313e-02       2.265999589085e+04 
       2.524943658832e-02       2.259560501897e+04 
       2.538461527057e-02       2.253070913580e+04 
       2.551994800746e-02       2.246533299578e+04 
       2.565543816831e-02       2.239948385847e+04 
       2.579108920646e-02       2.233319418732e+04 
       2.592690466161e-02       2.226651994237e+04 
       2.606288816221e-02       2.219928183895e+04 
       2.619904342800e-02       2.213225824590e+04 
       2.633537427260e-02       2.206383444361e+04 
       2.647188460614e-02       2.199545537584e+04 
       2.660857843812e-02       2.192685092218e+04 
       2.674545988020e-02       2.185778286003e+04 
       2.688253314924e-02       2.178891740722e+04 
       2.701980257034e-02       2.171878905916e+04 
       2.715727258008e-02       2.164914414501e+04 
       2.729494772978e-02       2.157880416544e+04 
       2.743283268897e-02       2.150804371409e+04 
       2.757093224894e-02       2.143699698130e+04 
       2.770925132643e-02       2.136580851133e+04 
       2.784779496747e-02       2.129457749363e+04 
       2.798656835131e-02       2.122272656120e+04 
       2.812557679463e-02       2.115070802895e+04 
       2.826482575574e-02       2.107849333796e+04 
       2.840432083907e-02       2.100606527904e+04 
       2.854406779979e-02       2.093338397860e+04 
       2.868407254861e-02       2.086055381417e+04 
       2.882434115674e-02       2.078741854775e+04 
       2.896487986116e-02       2.071447250653e+04 
       2.910569506991e-02       2.064072869375e+04 
       2.924679336780e-02       2.056709998886e+04 
       2.938818152221e-02       2.049364874141e+04 
       2.952986648917e-02       2.041930506723e+04 
       2.967185541973e-02       2.034561880515e+04 
       2.981415566652e-02       2.027088868266e+04 
       2.995677479066e-02       2.019640427778e+04 
       3.009972056892e-02       2.012186619023e+04 
       3.024300100120e-02       2.004727841850e+04 
       3.038662431832e-02       1.997280964205e+04 
       3.053059899018e-02       1.989748839561e+04 
       3.067493373426e-02       1.982251817070e+04 
       3.081963752444e-02       1.974737031178e+04 
       3.096471960036e-02       1.967221821183e+04 
       3.111018947703e-02       1.959688851639e+04 
       3.125605695502e-02       1.952189834755e+04 
       3.140233213101e-02       1.944639888222e+04 
       3.154902540892e-02       1.937073865484e+04 
       3.169614751148e-02       1.929504416943e+04 
       3.184370949240e-02       1.921939428295e+04 
       3.199172274911e-02       1.914390724350e+04 
       3.214019903610e-02       1.906799374549e+04 
       3.228915047893e-02       1.899231441103e+04 
       3.243858958890e-02       1.891652729916e+04 
       3.258852927845e-02       1.884086481913e+04 
       3.273898287738e-02       1.876491249991e+04 
       3.288996414982e-02       1.868893875263e+04 
       3.304148731212e-02       1.861305891620e+04 
       3.319356705163e-02       1.853733832043e+04 
       3.334621854646e-02       1.846141971651e+04 
       3.349945748635e-02       1.838550193447e+04 
       3.365330009452e-02       1.830937483596e+04 
       3.380776315081e-02       1.823348020628e+04 
       3.396286401605e-02       1.815778151573e+04 
       3.411862065771e-02       1.808189872087e+04 
       3.427505167708e-02       1.800596412366e+04 
       3.443217633787e-02       1.792995695794e+04 
       3.459001459651e-02       1.785441280087e+04 
       3.474858713418e-02       1.777825419370e+04 
       3.490791539065e-02       1.770248572823e+04 
       3.506802160016e-02       1.762679528078e+04 
       3.522892882941e-02       1.755112693305e+04 
       3.539066101789e-02       1.747532221823e+04 
       3.555324302053e-02       1.739960740395e+04 
       3.571670065315e-02       1.732400214778e+04 
       3.588106074060e-02       1.724830114023e+04 
       3.604635116804e-02       1.717277144053e+04 
       3.621260093542e-02       1.709724168986e+04 
       3.637984021551e-02       1.702177935537e+04 
       3.654810041579e-02       1.694621846185e+04 
       3.671741424433e-02       1.687111566796e+04 
       3.688781578021e-02       1.679552950237e+04 
       3.705934054869e-02       1.672006874332e+04 
       3.723202560152e-02       1.664478760487e+04 
       3.740590960297e-02       1.656949475031e+04 
       3.758103292187e-02       1.649417503012e+04 
       3.775743773031e-02       1.641905111672e+04 
       3.793516810952e-02       1.634395099932e+04 
       3.811427016357e-02       1.626866267463e+04 
       3.829479214161e-02       1.619361328589e+04 
       3.847678456938e-02       1.611849979690e+04 
       3.866030039094e-02       1.604338801911e+04 
       3.884539512139e-02       1.596817736126e+04 
       3.903212701182e-02       1.589331466742e+04 
       3.922055722761e-02       1.581823199276e+04 
       3.941075004120e-02       1.574325212860e+04 
       3.960277304110e-02       1.566817130849e+04 
       3.979669735847e-02       1.559325323359e+04 
       3.999259791324e-02       1.551847513140e+04 
       4.019055368174e-02       1.544328871911e+04 
       4.039064798809e-02       1.536840362086e+04 
       4.059296882201e-02       1.529337824780e+04 
       4.079760918577e-02       1.521800573809e+04 
       4.100466747371e-02       1.514312971092e+04 
       4.121424788781e-02       1.506812451223e+04 
       4.142646089368e-02       1.499282376896e+04 
       4.164142372148e-02       1.491756587124e+04 
       4.185926091731e-02       1.484237442723e+04 
       4.208010495114e-02       1.476709280048e+04 
       4.230409688829e-02       1.469150491050e+04 
       4.253138713242e-02       1.461600385825e+04 
       4.276213624940e-02       1.454052658214e+04 
       4.299651588252e-02       1.446459380145e+04 
       4.323470977134e-02       1.438892743730e+04 
       4.347691488842e-02       1.431273394306e+04 
