# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   40       1.653438511006e-10       7.721245140125e-15       2.358720586295e-13       6.521213645791e-17       8.505911797495e-11       8.857931326279e-12      -7.425433325678e-15 
   41       1.678398865046e-10       8.385565962584e-15       2.264138329428e-13       6.851864858512e-17       8.085486690392e-11       8.446093050094e-12      -6.842063538179e-15 
   42       1.703545601560e-10       9.085409412677e-15       2.155628753516e-13       7.190826079522e-17       7.693054176985e-11       8.062537537986e-12      -6.508386067976e-15 
   43       1.728775113869e-10       9.821231679799e-15       2.033989951538e-13       7.538101220171e-17       7.324381111007e-11       7.704771348584e-12      -6.535352933343e-15 
   44       1.754134945620e-10       1.059368997452e-14       1.898763508628e-13       7.893693290707e-17       6.978900489890e-11       7.371970319656e-12      -6.873832054338e-15 
   45       1.779702835238e-10       1.140348511222e-14       1.749060248447e-13       8.257604664274e-17       6.656260646060e-11       7.062833513968e-12      -7.412582859111e-15 
   46       1.805539251640e-10       1.225130117812e-14       1.583870473527e-13       8.629837179703e-17       6.354951848589e-11       6.774700839597e-12      -8.014736812023e-15 
   47       1.831685321622e-10       1.313780515445e-14       1.402055804813e-13       9.010392144735e-17       6.072216011232e-11       6.503451175066e-12      -8.516295687599e-15 
   48       1.858162657799e-10       1.406355861443e-14       1.202575330499e-13       9.399270062893e-17       5.804895851738e-11       6.244692339549e-12      -8.770960168399e-15 
   49       1.884977621221e-10       1.502872423899e-14       9.852584765437e-14       9.796469715529e-17       5.552476104097e-11       5.997965368259e-12      -8.803062532035e-15 
   50       1.912114699342e-10       1.603327593011e-14       7.502359783147e-14       1.020198882656e-16       5.314744455069e-11       5.763550338354e-12      -8.695163682069e-15 
   51       1.939532783334e-10       1.707707478124e-14       4.977282934420e-14       1.061582430560e-16       5.090885623188e-11       5.541242917690e-12      -8.546327560806e-15 
   52       1.967163192431e-10       1.815986421808e-14       2.280493959204e-14       1.103797223711e-16       4.879438997992e-11       5.330318400416e-12      -8.472983215286e-15 
   53       1.994936368914e-10       1.928138860974e-14      -5.852802823402e-15       1.146842783123e-16       4.678757328812e-11       5.129844031934e-12      -8.579085040861e-15 
   54       2.022874569655e-10       2.044179609481e-14      -3.622264232564e-14       1.190718528651e-16       4.488618772926e-11       4.939793056558e-12      -8.855600905273e-15 
   55       2.051019566261e-10       2.164133087015e-14      -6.834196110829e-14       1.235423787291e-16       4.308955545301e-11       4.760154458434e-12      -9.256680571487e-15 
   56       2.079405304622e-10       2.288021909790e-14      -1.022506379759e-13       1.280957795483e-16       4.139368281268e-11       4.590588866921e-12      -9.727679543684e-15 
   57       2.108057131384e-10       2.415866922315e-14      -1.379912500593e-13       1.327319697857e-16       3.979104684120e-11       4.430407195511e-12      -1.020473384509e-14 
   58       2.136991020416e-10       2.547687229171e-14      -1.756092745313e-13       1.374508545991e-16       3.827038172701e-11       4.278549280755e-12      -1.061433479581e-14 
   59       2.166216705356e-10       2.683488434500e-14      -2.151403446050e-13       1.422523359835e-16       3.681977983793e-11       4.133870884630e-12      -1.089086891030e-14 
   60       2.195749683584e-10       2.823224099049e-14      -2.565681033978e-13       1.471363331500e-16       3.543732070080e-11       3.996131047779e-12      -1.103495993084e-14 
   61       2.225600637778e-10       2.966825372548e-14      -2.998569015885e-13       1.521027666671e-16       3.412253740079e-11       3.865196683925e-12      -1.106794811026e-14 
   62       2.255771146921e-10       3.114211638534e-14      -3.449636502784e-13       1.571515526954e-16       3.287321996425e-11       3.740743691694e-12      -1.101529638208e-14 
   63       2.286253045174e-10       3.265290146379e-14      -3.918375838686e-13       1.622826030751e-16       3.168531419226e-11       3.622246046532e-12      -1.090677412548e-14 
   64       2.317027780765e-10       3.419955643326e-14      -4.404200229377e-13       1.674958254135e-16       3.055282049412e-11       3.508964892634e-12      -1.077664093027e-14 
   65       2.348075585486e-10       3.578101839174e-14      -4.906569567200e-13       1.727911363079e-16       2.946944932044e-11       3.400151679423e-12      -1.065610287784e-14 
   66       2.379406680387e-10       3.739659448921e-14      -5.425404203788e-13       1.781685040713e-16       2.843422218922e-11       3.295732075064e-12      -1.054841170441e-14 
   67       2.411035552375e-10       3.904565572923e-14      -5.960754827374e-13       1.836279152390e-16       2.744687952064e-11       3.195747822769e-12      -1.044880498646e-14 
   68       2.442971366901e-10       4.072752538877e-14      -6.512683191150e-13       1.891693626781e-16       2.650617764828e-11       3.100150648021e-12      -1.035173650644e-14 
   69       2.475217601264e-10       4.244147864832e-14      -7.081263327953e-13       1.947928460425e-16       2.560983678827e-11       3.008797337760e-12      -1.025084386423e-14 
   70       2.507771677911e-10       4.418674222208e-14      -7.666582764935e-13       2.004983722284e-16       2.475448900850e-11       2.921444819560e-12      -1.013891608880e-14 
   71       2.540624597740e-10       4.596249398812e-14      -8.268743738247e-13       2.062859558290e-16       2.393562619772e-11       2.837745240814e-12      -1.000786124965e-14 
   72       2.573766760408e-10       4.776782793317e-14      -8.887779589189e-13       2.121556303864e-16       2.314875966606e-11       2.757340221547e-12      -9.851118927679e-15 
   73       2.607207533524e-10       4.960164201878e-14      -9.523382674750e-13       2.181074836364e-16       2.239327225959e-11       2.680175493074e-12      -9.671505706425e-15 
   74       2.640958794570e-10       5.146272802251e-14      -1.017512618146e-12       2.241416298825e-16       2.166921507372e-11       2.606238042723e-12      -9.474824102948e-15 
   75       2.675028855118e-10       5.334980317419e-14      -1.084254360678e-12       2.302582004887e-16       2.097613738355e-11       2.535459680054e-12      -9.267574173415e-15 
   76       2.709422235385e-10       5.526150899420e-14      -1.152512803728e-12       2.364573445809e-16       2.031306227582e-11       2.467714380278e-12      -9.056976943347e-15 
   77       2.744139438798e-10       5.719641013169e-14      -1.222233142684e-12       2.427392297483e-16       1.967846228093e-11       2.402815627679e-12      -8.850997837875e-15 
   78       2.779176726545e-10       5.915299320288e-14      -1.293356387481e-12       2.491040427452e-16       1.907023500490e-11       2.340513759034e-12      -8.658370111986e-15 
   79       2.814525892138e-10       6.112966562929e-14      -1.365819290420e-12       2.555519901926e-16       1.848567876132e-11       2.280493307031e-12      -8.488618280775e-15 
   80       2.850178716806e-10       6.312480684483e-14      -1.439559690887e-12       2.620832940398e-16       1.792216361833e-11       2.222451132324e-12      -8.349813821579e-15 
   81       2.886141722717e-10       6.513693471424e-14      -1.514533777250e-12       2.686981755006e-16       1.737933235840e-11       2.166352290589e-12      -8.241341874246e-15 
